Rank,Game,Release Year
1,Call of Duty 4: Modern Warfare,2007
2,Fallout: New Vegas,2010
3,Fallout 3,2008
4,Grand Theft Auto: San Andreas,2004
5,Overwatch,2016
6,Halo 3,2007
7,Minecraft,2009
8,Bully,2006
9,Mirror's Edge,2008
10,Bioshock Infinite,2013
11,Left 4 Dead 2,2009
12,Resistance: Fall of Man,2006
13,Firewatch,2016
14,Payday 2,2013
15,Habbo Hotel,2000
16,Rocket League,2015
17,Rock Band 3,2010
18,RollerCoaster Tycoon 3,2004
19,Grand Theft Auto IV,2008
20,Gone Home,2013
21,Portal 2,2011
22,The Last of Us,2013
23,Life is Strange,2015
24,XCOM 2,2016
25,Assassin's Creed Origins,2017
26,Fallout 4,2015
27,The Witcher 3: Wild Hunt,2015
28,L.A. Noire,2011
29,Tony Hawk's Underground 2,2004
30,Trials Evolution,2012
31,The Simpsons: Hit & Run,2003
32,The Walking Dead,2012
33,Uncharted 2: Among Thieves,2009
34,The Sims 2,2004
35,Portal,2007
36,Night in the Woods,2017
37,Ratchet & Clank,2016
38,Guitar Hero: World Tour,2008
39,Forza Horizon 4,2018
40,Heavy Rain,2010
41,Team Fortress 2,2007
42,Thimbleweed Park,2017
43,Call of Duty: Modern Warfare 2,2009
44,Grand Theft Auto V,2013
45,Halo 3: ODST,2009
46,Call of Duty: World at War,2008
47,Hector: Badge of Carnage,2010
48,Uncharted 4: A Thief's End,2016
49,The Saboteur,2009
50,What Remains of Edith Finch,2017
51,Journey,2012
52,The Elder Scrolls V: Skyrim,2011
53,Half Life 2,2004
54,Platform Racing 2,2008
55,The Wolf Among Us,2013
56,Pokemon Black/White 2,2012
57,Skate 3,2010
58,LittleBigPlanet,2008
59,Garry's Mod,2004
60,Watch Dogs 2,2016
61,Super Mario Odyssey,2017
62,Mafia 2,2010
63,Inside,2016
64,Wolfenstein 2: The New Colossus,2017
65,The Stanley Parable,2013
66,Superhot,2016
67,Bioshock,2007
68,Pokemon Yellow,1998
69,Assassin's Creed Odyssey,2018
70,Stuntman,2002
71,Call of Duty: Black Ops 2,2012
72,Life is Strange: Before the Storm,2017
73,Trials HD,2009
74,Until Dawn,2015
75,Uncharted: Drake's Fortune,2007
76,Call of Jaurez: Gunslinger,2013
77,Saints Row 2,2008
78,Disney's Extreme Skate Adventure,2003
79,Burnout Paradise,2008
80,Brothers: A Tale of Two Sons,2013
81,Dying Light,2015
82,Contrast,2013
83,Titanfall 2,2016
84,The Last of Us: Left Behind,2014
85,Uncharted: The Lost Legacy,2017
86,Beyond: Two Souls,2013
87,The Jackbox Party Pack,2014
88,Age of Empires II: The Age of Kings,1999
89,Theme Park World,1999
90,Counter-Strike: Global Offensive,2012
91,God of War 3,2010
92,Jazzpunk,2014
93,Battlefield: Bad Company 2,2010
94,Detroit: Become Human,2018
95,Emily is Away,2015
96,Oxenfree,2016
97,Golf It!,2017
98,Unreal Tournament 3,2007
99,Time Crisis 2,1997
100,Battlefield 1943,2009
